ticker,date,action,shares
AAPL,2024-10-25,BUY,1
AAPL,2024-10-25,BUY,1
AAPL,2025-04-07,SELL,2
AAPL,2025-04-07,BUY,1
ADC,2024-10-25,BUY,1
ADC,2024-11-14,SELL,1
ADI,2024-10-25,BUY,1
ADI,2025-04-07,SELL,1
ADI,2025-04-07,BUY,1
ADM,2024-10-25,BUY,1
ADM,2024-11-14,SELL,1
ADP,2024-10-25,BUY,1
ADP,2024-11-14,SELL,1
AFL,2024-10-25,BUY,1
AFL,2024-11-14,SELL,1
AGNC,2024-10-25,BUY,1
AGNC,2024-11-14,SELL,1
AI,2024-10-25,BUY,1
AI,2025-04-07,SELL,1
AI,2025-04-07,BUY,1
AIR.PA,2024-10-25,BUY,1
AMAT,2024-10-25,BUY,1
AMAT,2025-04-07,SELL,1
AMAT,2025-04-07,BUY,1
AMD,2024-10-25,BUY,1
AMD,2025-04-07,SELL,1
AMD,2025-04-07,BUY,1
AMZN,2024-10-25,BUY,1
AMZN,2025-04-07,SELL,1
AMZN,2025-04-07,BUY,1
ANET,2024-10-25,BUY,1
ANET,2025-04-07,SELL,1
ANET,2025-04-07,BUY,1
APH,2024-10-25,BUY,1
APH,2025-04-07,SELL,1
APH,2025-04-07,BUY,1
APLD,2025-01-07,BUY,1
APLD,2025-01-07,BUY,1
APLD,2025-01-07,BUY,1
APLD,2025-01-14,BUY,1
APLD,2025-12-22,BUY,1
ASM.AS,2024-10-25,BUY,1
ASM.AS,2025-04-07,SELL,1
ASM.AS,2025-04-07,BUY,1
ASML,2024-10-25,BUY,1
ASML,2025-04-07,SELL,1
ASML,2025-04-07,BUY,1
AV.L,2025-03-17,BUY,1
AVAH,2025-12-22,BUY,1
AVAV,2024-10-25,BUY,1
AVAV,2024-10-25,BUY,1
AVGO,2024-10-25,BUY,1
AVGO,2025-04-07,SELL,1
AVGO,2025-04-07,BUY,1
BA.L,2024-10-25,BUY,1
BAB.L,2025-03-14,BUY,1
BABA,2025-04-28,BUY,1
BAH,2024-10-25,BUY,1
BBAI,2025-01-03,BUY,1
BBAI,2025-02-05,BUY,1
BBAI,2025-02-05,BUY,1
BBAI,2025-04-28,BUY,1
BBAI,2025-04-28,BUY,1
BEN,2024-10-25,BUY,1
BEN,2024-11-14,SELL,1
BESI.AS,2024-10-25,BUY,1
BESI.AS,2025-04-07,SELL,1
BESI.AS,2025-04-07,BUY,1
BKCN.L,2025-02-18,BUY,1
BKCN.L,2025-04-04,SELL,1
BKR,2025-01-07,BUY,1
BKR,2025-01-07,BUY,1
BKR,2025-01-07,BUY,1
BKR,2025-02-03,BUY,1
BKR,2025-02-03,BUY,1
BKR,2025-07-22,SELL,5
BLK,2024-10-25,BUY,1
BLK,2024-11-14,SELL,1
BMO,2024-10-25,BUY,1
BMO,2024-11-14,SELL,1
BMY,2024-10-25,BUY,1
BMY,2024-11-14,SELL,1
BNS,2024-10-25,BUY,1
BNS,2024-10-25,BUY,1
BNS,2024-11-14,SELL,2
BORR,2025-12-22,BUY,1
BROS,2025-01-07,BUY,1
BROS,2025-01-07,BUY,1
BROS,2025-01-07,BUY,1
BROS,2025-02-18,BUY,1
BROS,2025-04-07,SELL,4
CAH,2024-10-25,BUY,1
CAH,2024-11-14,SELL,1
CB,2024-10-25,BUY,1
CB,2024-11-14,SELL,1
CCJ,2025-03-17,BUY,1
CCJ,2025-04-28,SELL,1
CDNS,2024-10-25,BUY,1
CDNS,2025-04-07,SELL,1
CDNS,2025-04-07,BUY,1
CEG,2024-10-25,BUY,1
CEG,2025-04-07,SELL,1
CEG,2025-04-07,BUY,1
CGNX,2024-10-25,BUY,1
CGNX,2025-04-07,SELL,1
CGNX,2025-04-07,BUY,1
CHKP,2024-10-25,BUY,1
CHKP,2025-04-07,SELL,1
CHKP,2025-04-07,BUY,1
CLS,2024-10-25,BUY,1
CLS,2025-04-07,SELL,1
CLS,2025-04-07,BUY,1
CNQ,2024-10-25,BUY,1
CNQ,2024-11-14,SELL,1
COFF.L,2024-11-18,BUY,1
COFF.L,2025-02-06,SELL,1
COFF.L,2025-02-06,BUY,1
COFF.L,2025-04-08,SELL,1
COFF.L,2025-04-08,BUY,1
COFF.L,2025-06-30,SELL,1
COHR,2024-10-25,BUY,1
COHR,2025-04-07,SELL,1
COHR,2025-04-07,BUY,1
COPB.L,2025-02-10,BUY,1
COPB.L,2025-03-10,SELL,1
CRM,2025-03-24,BUY,1
CRM,2025-05-16,SELL,1
