date,ticker,ownership,price,label
2026-06-13,SNDK,idea,1694.9800,Setup you're missing
2026-06-13,ADSK,idea,231.3100,On the radar
2026-06-13,KLAC,held,189.8512,Big position bleeding
2026-06-13,ASM.AS,held,875.7318,Running hot
2026-06-13,AMAT,held,423.0891,Running hot
2026-06-14,SNDK,idea,1694.9800,Setup you're missing
2026-06-14,ADSK,idea,231.3100,On the radar
2026-06-14,KLAC,held,189.7596,Running hot
2026-06-14,AMAT,held,422.8849,Running hot
2026-06-16,SNDK,idea,1694.9800,Setup you're missing
2026-06-16,NFLX,idea,86.0200,On the radar
2026-06-16,MU,held,768.2481,Carrying the basket
2026-06-16,APLD,held,35.0699,Signals stacking
