ticker,baseline_date,weight
AAPL,2024-10-21,5.0
MSFT,2024-10-21,5.0
GOOG,2024-10-21,4.0
NVDA,2024-10-21,6.0
META,2024-10-21,3.0
JPM,2024-10-21,2.5
V,2024-10-21,2.5
COST,2024-10-21,2.0
UNH,2024-10-21,2.5
LLY,2024-10-21,3.5
AZN.L,2024-10-21,2.0
AMZN,2025-01-15,4.0
AVGO,2025-01-15,3.0
AMD,2025-01-15,2.0
MA,2025-01-15,2.0
LMT,2025-01-15,1.5
NFLX,2025-01-15,2.0
ASML.AS,2025-01-15,2.5
BRK-B,2025-05-10,3.0
JNJ,2025-05-10,1.5
KO,2025-05-10,1.5
HD,2025-05-10,1.5
SAP.DE,2025-05-10,2.0
NEE,2025-09-05,1.5
AMT,2025-09-05,1.5
EQIX,2025-09-05,2.0
MCD,2025-09-05,1.5
HSBA.L,2025-09-05,1.5
INTC,2026-01-10,1.5
ORCL,2026-01-10,2.0
CRM,2026-01-10,1.5
ABBV,2026-01-10,1.5
RACE.MI,2026-01-10,1.5
TSLA,2026-04-15,2.0
MU,2026-04-15,1.5
ABT,,
ACN,,
ADBE,,
ADP,,
AMAT,,
AMGN,,
AXP,,
BA,,
BAC,,
BK,,
BKNG,,
BLK,,
BMY,,
BX,,
C,,
CAT,,
CB,,
CCI,,
CHTR,,
CI,,
CL,,
CMCSA,,
CME,,
CNI,,
COF,,
COP,,
CSCO,,
CVS,,
CVX,,
DE,,
DHR,,
DIS,,
DOW,,
DUK,,
EMR,,
EOG,,
F,,
FDX,,
GD,,
GE,,
GILD,,
GM,,
GOOGL,,
GS,,
HON,,
IBM,,
ICE,,
ISRG,,
LIN,,
LOW,,
MCO,,
MDLZ,,
MDT,,
MMM,,
MO,,
MRK,,
MS,,
NEM,,
NKE,,
NOC,,
NSC,,
PEP,,
PFE,,
PG,,
PLD,,
PM,,
PNC,,
PYPL,,
QCOM,,
REGN,,
RTX,,
SBUX,,
SCHW,,
SLB,,
SO,,
SPG,,
T,,
TFC,,
TGT,,
TMO,,
TMUS,,
TXN,,
UNP,,
UPS,,
USB,,
VZ,,
WFC,,
WMT,,
XOM,,
