ticker,date,action,shares
AAPL,2024-10-21,BUY,15
MSFT,2024-10-21,BUY,10
GOOG,2024-10-21,BUY,12
NVDA,2024-10-21,BUY,30
META,2024-10-21,BUY,5
JPM,2024-10-21,BUY,8
V,2024-10-21,BUY,7
COST,2024-10-21,BUY,3
UNH,2024-10-21,BUY,5
LLY,2024-10-21,BUY,4
AZN.L,2024-10-21,BUY,80
AMZN,2025-01-15,BUY,15
AVGO,2025-01-15,BUY,8
AMD,2025-01-15,BUY,12
MA,2025-01-15,BUY,6
NFLX,2025-01-15,BUY,4
LMT,2025-01-15,BUY,3
ASML.AS,2025-01-15,BUY,4
LLY,2025-03-10,SELL,4
NVDA,2025-04-22,SELL,10
BRK-B,2025-05-10,BUY,15
JNJ,2025-05-10,BUY,5
HD,2025-05-10,BUY,3
SAP.DE,2025-05-10,BUY,10
AMD,2025-07-08,BUY,8
LMT,2025-09-20,SELL,3
NEE,2025-09-05,BUY,10
EQIX,2025-09-05,BUY,2
MCD,2025-09-05,BUY,5
HSBA.L,2025-09-05,BUY,200
META,2025-11-12,BUY,4
INTC,2026-01-10,BUY,40
ORCL,2026-01-10,BUY,8
CRM,2026-01-10,BUY,6
ABBV,2026-01-10,BUY,8
RACE.MI,2026-01-10,BUY,5
NFLX,2026-03-04,SELL,4
TSLA,2026-04-15,BUY,8
MU,2026-04-15,BUY,15
